Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R112,50,R_0402_1005Metric,173.465,-112.1,180.0,top
U1,OPA847IDBVT,OPA847IDBVT,194.3624,-93.06,180.0,top
U2,S15643,AF210729-S14160-x16,183.59,-101.41,0.0,top
U3,OPA847IDBVT,OPA847IDBVT,172.9548,-93.190002,0.0,top
U4,OPA847IDBVT,OPA847IDBVT,194.3624,-96.25,180.0,top
U5,OPA847IDBVT,OPA847IDBVT,172.9548,-96.473335,0.0,top
U6,OPA847IDBVT,OPA847IDBVT,194.3624,-99.44,180.0,top
U7,OPA847IDBVT,OPA847IDBVT,172.9548,-99.756668,0.0,top
U8,OPA847IDBVT,OPA847IDBVT,194.3624,-102.63,180.0,top
U9,OPA847IDBVT,OPA847IDBVT,172.9548,-103.040001,0.0,top
U10,OPA847IDBVT,OPA847IDBVT,194.3624,-105.83,180.0,top
U11,OPA847IDBVT,OPA847IDBVT,172.9548,-106.26,0.0,top
U12,OPA847IDBVT,OPA847IDBVT,191.457053,-89.572053,180.0,top
U13,OPA847IDBVT,OPA847IDBVT,175.3,-89.89,0.0,top
U14,OPA847IDBVT,OPA847IDBVT,194.3624,-109.08,180.0,top
U15,OPA847IDBVT,OPA847IDBVT,172.9548,-109.5,0.0,top
U16,OPA847IDBVT,OPA847IDBVT,191.062401,-112.93,180.0,top
U17,OPA847IDBVT,OPA847IDBVT,176.415,-113.05,0.0,top
